JHED - Request#,creatorGeneral,title,publisher,publicationYear,resourceTypeGeneral,subjectGeneral,language,size,format,version,rights,rightsURI,description,descriptionType,fundingReferenceGeneral,creatorName,nameType,nameIdentifier,nameIdentifierScheme,Affiliation,resourceType,generalResourceType,subject,subjectScheme,subjectSchemeURI,valueURI,contributorType,contributorName,contributorNameType,contributorNameIdentifier,contributorIdentifierScheme,contributorSchemeURI,contributorAffiliation,relatedIdentifier,relatedIdentifierType,relationType,relatedMetadataScheme,relatedSchemeURI,date,dateType,alternateIdentifier,alternateIdentifierType,geoLocationPoint,pointLongitude,pointLatitude,westBoundLongitude,eastBoundLongitude,southBoundLatitude,northBoundLatitude,geoLocationPlace,geoLocationPolygon,polygonPoint,polyPointLongitude,polyPointLatitude,funderName,funderIdentifier,funderIdentifierType,awardNumber,awardURI,awardTitle
agnanad1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-10/2015-02,Collected,,,,,,,,,,,,,,,,,,,,
agnanad1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-02-01 00:00:00,Submitted,,,,,,,,,,,,,,,,,,,,
agnanad1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://schema.datacite.org/meta/kernel-4.2/example/datacite-example-full-v4.2.xml,URL,,,,,,,,,,,,,,,,,,
agnanad1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://youthsocialmedia.org/,URL,,,,,,,,,,,,,,,,,,
agnanad1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31.233, -67.302",-67.302,31.233,-71.032,-68.211,41.09,42.893,Atlantic Ocean,polygon1,"41.991, -71.032",-71.032,41.991,,,,,,
agnanad1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,polygon1,"42.893, -69.622",-69.622,42.893,,,,,,
agnanad1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,polygon1,"41.991, -68.211",-68.211,41.991,,,,,,
agnanad1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,polygon1,"41.090, -69.622",-69.622,41.09,,,,,,
agnanad1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,polygon1,"41.991, -71.032",-71.032,41.991,,,,,,
agnanad1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,London,polygon2,"0.210307, 51.485877",0.210307,51.485877,,,,,,
agnanad1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,polygon2,"0.211056, 51.485871",0.211056,51.485871,,,,,,
agnanad1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,polygon2," 0.211517, 51.485851",0.211517,51.485851,,,,,,
agnanad1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,polygon2,"0.212561, 51.485779 ",0.212561,51.485779,,,,,,
agnanad1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,polygon2,"0.210307, 51.485877",0.210307,51.485877,,,,,,
agnanad1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scotland,,,,,,,,,,
agnanad1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOAA,https://doi.org/10.13039/100000001,Crossref Funder,CBET-106,www.award.com,Full DataCite XML Award
agnanad1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NSF,,,,,
agnanad1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences and Humanities Research Council (SSHRC),0000 0001 2184 7647,ISNI,CCB123456,,
